Local authorities code,Local authorities,Region,Hours worked  Does not apply,Hours worked Parttime 15 hrs or less,Hours worked Parttime 16 to 30 hrs,Hours worked Fulltime 31 to 48 hrs,Hours worked Fulltime 49 or more hrs,Distance travelled Does not apply,Distance travelled Less than 2km,Distance travelled 2km to less than 5km,Distance travelled 5km to less than 10km,Distance travelled 10km to less than 20km,Distance travelled 20km to less than 30km,Distance travelled 30km to less than 40km,Distance travelled 40km to less than 60km,Distance travelled 60km and over,Distance travelled Works mainly from home,Distance travelled Works in no fixed place,Method of travel Work from home,Method of travel Light rail,Method of travel Train,Method of travel Bus,Method of travel Taxi,Method of travel Motorcycle,Method of travel Driving,Method of travel Passenger in a car,Method of travel Bicycle,Method of travel On foot,Method of travel Other ,Method of travel Not in employment,Working from home number,Working from home percent
E07000223,Adur,South East,34719,3437,6764,16875,2749,34719,3313,3396,3961,2516,747,525,223,343,9266,5533,9266,15,839,925,70,234,14254,1079,892,1938,313,34719,9266,31.1
E07000026,Allerdale,North West,51919,4483,9575,25309,4868,51919,5985,3411,3677,5773,4863,1675,1354,646,10757,6095,10757,17,196,992,92,129,24859,2036,407,4328,422,51919,10757,24.3
E07000032,Amber Valley,East Midlands,66035,5916,11784,36026,6445,66035,6638,6676,8061,10542,2649,636,479,770,15225,8494,15225,27,201,1458,153,313,35212,2430,543,4180,429,66035,15225,25.3
E07000224,Arun,South East,91698,9099,15675,40561,7856,91698,8933,7825,11074,8047,2805,1256,1229,1252,18060,12710,18060,52,1270,1264,216,380,39949,3823,2014,5342,820,91698,18060,24.7
E07000170,Ashfield,East Midlands,67870,4786,11451,36725,5468,67870,7139,9309,9679,7595,2454,785,492,787,11460,8731,11460,545,258,1724,419,275,35311,3005,841,4070,524,67870,11460,19.6
E07000105,Ashford,South East,69132,6754,11838,36702,8321,69132,7209,9105,3845,5100,3927,1822,981,2081,19120,10425,19120,83,1575,1177,152,221,32389,2552,1186,4533,626,69132,19120,30.1
E07000200,Babergh,Eastern,49384,5421,8912,23369,5255,49384,4413,2815,3658,5859,3079,1103,677,893,13171,7289,13171,32,347,282,73,184,23542,1407,499,3055,368,49384,13171,30.7
E09000002,Barking and Dagenham,London,124280,10801,20086,55490,8211,124280,6478,11954,11182,16820,4677,1056,594,1032,19572,21224,19572,15301,8660,9690,542,599,30732,2392,1218,4464,1416,124280,19572,20.7
E09000003,Barnet,London,203170,23760,35920,101785,24710,203170,12676,15501,23510,22122,2294,795,619,1162,79628,27869,79628,20758,4690,15090,872,1197,46797,3169,2162,9361,2451,203170,79628,42.8
E08000016,Barnsley,Yorkshire and The Humber,132892,9142,22850,68527,11161,132892,11844,15670,17395,16906,5746,1353,714,1291,22340,18422,22340,37,904,4733,699,432,66305,6962,738,7575,956,132892,22340,20.0
E07000027,Barrow-in-Furness,North West,36224,2666,6593,19866,2058,36224,8054,7550,3033,1341,382,655,202,442,6051,3475,6051,5,250,937,387,366,15685,1755,1030,4403,313,36224,6051,19.4
E07000066,Basildon,East of England,98560,9070,15966,53719,10256,98560,8912,9992,8179,8729,3633,3501,2303,703,27225,15835,27225,707,4967,1846,802,386,41731,3818,1057,5498,976,98560,27225,30.6
E07000084,Basingstoke and Deane,South East,88181,8743,15390,62171,10669,88181,10872,11058,6910,8173,4614,1616,1927,1681,38057,12065,38057,58,1396,2156,367,358,41928,3447,1394,7036,776,88181,38057,39.2
E07000171,Bassetlaw,East Midlands,62889,5143,11315,32043,6416,62889,7640,6616,5211,8441,4629,1743,1051,956,10741,7890,10741,25,268,694,170,240,33983,3148,1035,4144,468,62889,10741,19.6
E06000022,Bath and North East Somerset,South West,103597,12067,18817,49585,9343,103597,11461,9827,6889,10850,2385,480,600,1154,34611,11555,34611,62,629,3063,235,522,35753,2637,1713,9848,742,103597,34611,38.5
E06000055,Bedford,East of England,94360,8812,16011,55968,10074,94360,10705,13721,6940,8223,5287,1577,1312,2195,28568,12336,28568,106,1352,1782,1102,356,42890,4403,2529,6935,842,94360,28568,31.4
E09000004,Bexley,London,128489,11593,20988,73640,11764,128489,7959,13246,13754,15404,4488,1014,591,835,40692,20001,40692,2838,12164,7763,688,767,42503,2919,995,5258,1396,128489,40692,34.5
E08000025,Birmingham,West Midlands,702501,49418,96764,261443,34793,702501,44638,72746,77482,43586,11183,4907,3655,7021,114058,63142,114058,977,9220,43123,6673,1118,202963,21557,5741,31483,5505,702501,114058,25.8
E07000129,Blaby,East Midlands,51480,4611,9952,31671,5212,51480,3569,6593,8760,5410,1665,816,769,535,15526,7803,15526,23,134,998,196,185,28981,1968,881,2181,373,51480,15526,30.2
E06000008,Blackburn with Darwen,North West,91181,5863,14711,38715,4268,91181,11599,12471,6232,7746,2238,1191,475,551,12388,8667,12388,32,522,1568,2120,196,35313,4279,445,6018,677,91181,12388,19.5
E06000009,Blackpool,North West,81674,6223,13422,34638,5079,81674,11208,13447,6795,2456,1705,539,497,828,12013,9874,12013,262,321,3381,948,333,29376,3481,1375,7004,868,81674,12013,20.2
W06000019,Blaenau Gwent,Wales,38105,1946,5641,18817,2395,38105,3488,4271,3603,5359,2106,852,618,437,4036,4030,4036,8,137,437,142,113,19735,2129,118,1746,198,38105,4036,14.0
E07000033,Bolsover,East Midlands,42173,3137,7497,23380,4086,42173,4217,3700,6307,6866,2310,941,590,584,6884,5701,6884,17,135,865,195,193,24349,2161,250,2714,337,42173,6884,18.1
E08000001,Bolton,North West,170525,11725,27750,75764,10199,170525,15111,20309,17711,14225,5699,1002,593,1106,29568,20113,29568,181,1618,4778,2583,425,67803,6830,1057,9226,1370,170525,29568,23.6
E07000136,Boston,East Midlands,36871,2729,6652,19918,4332,36871,6152,4610,3463,4954,3263,717,907,647,3558,5360,3558,27,77,522,166,143,20491,4154,1408,2748,337,36871,3558,10.6
E06000058,"Bournemouth, Christchurch and Poole",South West,214164,21877,38598,107607,17950,214164,23231,33408,24931,11865,1925,2079,2012,2659,55150,28772,55150,133,1030,8312,574,1492,89083,6898,5984,15391,1985,214164,55150,29.6
E06000036,Bracknell Forest,South East,58210,5918,10654,42029,7796,58210,5819,6347,6070,7146,2908,875,848,518,26512,9358,26512,68,976,733,242,287,30194,2160,912,3755,557,58210,26512,39.9
E08000032,Bradford,Yorkshire and The Humber,325274,21924,52883,129284,17046,325274,28842,38445,30777,24935,5737,1476,1581,1952,55396,31998,55396,131,4160,10377,5915,527,109677,12631,1525,18230,2568,325274,55396,25.1
E07000067,Braintree,East of England,78984,8594,14371,43700,9619,78984,7697,4934,5478,10634,5481,2302,2764,1500,21933,13561,21933,137,1698,847,224,295,41638,2798,792,5241,682,78984,21933,28.8
E07000143,Breckland,Eastern,75838,7119,12862,36910,8747,75838,8792,3994,4348,10063,6965,2911,1780,1281,14404,11100,14404,23,214,732,171,313,39172,3136,1188,5575,711,75838,14404,21.9
E09000005,Brent,London,178819,18564,30956,93506,17971,178819,13873,23212,23900,16535,2057,623,566,1478,48987,29763,48987,24200,8267,21439,886,1801,34917,3220,4074,11000,2206,178819,48987,30.4
E07000068,Brentwood,East of England,39146,4223,6165,21744,5771,39146,2458,2017,2615,4102,2386,1644,302,259,16784,5335,16784,539,2471,370,178,131,14189,867,178,1815,379,39146,16784,44.3
W06000013,Bridgend,Wales,81504,5055,12787,40185,5957,81504,7612,7547,7999,8991,4823,2252,626,941,14375,8819,14375,24,655,939,355,225,39608,3131,380,3776,516,81504,14375,22.5
E06000043,Brighton and Hove,South East,137812,18422,28832,79077,12960,137812,19822,19503,7872,6569,2111,1988,908,2807,59495,18218,59495,158,3539,9946,539,931,34893,3085,5282,19855,1567,137812,59495,42.7
E06000023,Bristol,South West,233955,24727,46279,147056,20448,233955,30808,42525,25277,11434,1827,1514,1730,2561,92026,28808,92026,115,1650,14617,999,1545,78915,7329,12466,26730,2120,233955,92026,38.6
E07000144,Broadland,Eastern,69132,7120,13671,35015,6783,69132,4389,6771,9343,8164,2512,921,517,771,18934,10267,18934,30,164,1220,165,394,34889,1961,1422,2716,695,69132,18934,30.3
E09000006,Bromley,London,167869,16708,27359,97180,20875,167869,9359,13633,15786,19654,4464,1046,495,841,75511,21333,75511,3146,15214,8069,593,966,45304,2852,1784,7029,1654,167869,75511,46.6
E07000234,Bromsgrove,West Midlands,51896,4780,9234,27520,5753,51896,3416,3415,5325,8348,2402,668,367,515,16436,6395,16436,23,647,370,180,119,25194,1505,287,2178,348,51896,16436,34.8
E07000095,Broxbourne,East of England,50701,5104,9143,28778,5281,50701,4519,4051,5772,6216,3297,649,329,251,14218,9004,14218,977,2608,997,314,234,23586,1613,518,2686,554,50701,14218,29.4
E07000172,Broxtowe,East Midlands,59024,4985,10317,31844,4768,59024,4631,7023,8234,5545,1078,549,317,755,17302,6482,17302,725,244,1993,176,211,24367,1755,1341,3378,426,59024,17302,33.3
