Year,Region of workplace,Less than 20 mins,Less than 40 mins,Less than 60 mins,Less than 90 mins,Car,Motorcycle,Bicycle,Bus or coach,National rail,Other rail,Walk,Other modes,Number in employment
2018,North East,45.4,85.5,94.4,98.8,78.2,0.2,2.4,6.4,0.4,2.4,8.9,1.1,1189.0
2018,Tyne and Wear,35.2,82.9,94.8,99.0,73.2,0.2,2.9,10.3,1.0,4.8,7.1,0.5,570.0
2018,Rest of North East,55.8,88.2,94.0,98.6,83.0,0.2,1.2,2.5,0.5,2.0,10.0,0.6,619.0
2018,North West,39.5,76.1,89.1,97.6,75.6,0.4,2.3,6.8,3.2,1.3,9.3,1.1,3471.0
2018,Greater Manchester,32.7,69.2,83.7,96.1,70.6,0.4,2.9,9.0,4.5,2.6,8.6,1.4,1361.0
2018,Merseyside,39.0,79.3,92.1,98.5,71.2,0.6,2.4,9.4,4.0,1.8,10.5,0.1,630.0
2018,Rest of North West,46.0,81.1,92.8,98.5,82.1,0.3,1.7,3.6,1.0,1.0,9.4,0.9,1480.0
2018,Yorkshire and The Humber,40.8,78.6,91.4,97.8,74.7,0.7,3.0,7.1,2.0,1.1,10.2,1.2,2594.0
2018,South Yorkshire,36.8,75.9,92.1,98.4,74.3,0.5,3.4,7.8,1.5,1.0,11.2,0.3,639.0
2018,West Yorkshire,36.2,75.6,88.7,97.0,75.2,0.4,1.5,8.3,3.6,0.7,8.3,2.0,1133.0
2018,Rest of Yorkshire and The Humber,50.1,84.9,94.5,98.4,74.2,0.3,0.7,4.7,3.5,4.0,12.0,0.6,822.0
2018,East Midlands,43.9,81.0,92.1,98.0,79.1,0.6,2.9,4.5,0.9,0.6,11.1,0.3,2221.0
2018,West Midlands,39.4,77.3,90.6,97.4,79.8,0.6,1.5,5.7,3.2,0.1,8.4,0.7,2730.0
2018,West Midlands (metropolitan county),33.2,72.0,87.9,97.0,74.6,0.4,1.1,9.6,5.4,0.6,8.1,0.2,1350.0
2018,Rest of West Midlands,45.8,83.0,93.4,97.9,85.0,0.2,1.9,1.8,1.0,1.0,8.8,0.3,1380.0
2018,East of England,42.8,79.7,90.6,97.0,77.7,0.6,4.4,3.2,2.8,1.3,9.2,0.8,2820.0
2018,London,14.1,42.4,64.0,89.2,27.2,1.0,4.5,12.0,23.1,22.6,8.7,0.9,5295.0
2018,Central London,4.1,26.5,51.8,85.8,8.5,0.9,5.5,6.8,38.4,32.9,6.1,0.9,1987.0
2018,Rest of Inner London,12.4,42.9,66.4,90.3,20.3,1.2,5.4,14.2,20.9,25.8,11.0,1.2,1480.0
2018,Outer London,29.4,63.6,78.4,92.8,54.6,0.9,2.7,16.2,6.9,7.9,10.2,0.6,1828.0
2018,South East,39.9,75.7,87.9,95.7,73.8,0.5,4.1,4.8,4.4,0.2,11.3,0.9,4344.0
2018,South West,46.6,80.8,92.0,97.2,74.8,0.8,4.3,4.5,1.9,0.2,12.8,0.7,2806.0
2018,England,36.4,71.5,85.3,95.7,66.9,0.7,3.5,6.6,6.7,4.7,10.0,0.9,27469.0
2018,Wales,48.1,83.0,93.8,98.3,80.4,0.4,2.5,4.5,2.5,0.3,9.1,0.3,1465.0
2018,Scotland,42.3,80.2,90.7,96.8,70.0,0.3,2.9,9.3,4.5,0.2,11.5,1.3,2666.0
2018,Great Britain,37.5,72.8,86.2,95.9,67.8,0.6,3.4,6.7,6.3,4.2,10.1,0.9,31600.0
2019,North East,44.6,83.3,93.9,98.6,76.2,0.4,1.4,8.2,1.3,1.6,9.7,1.2,1183.0
2019,Tyne and Wear,35.6,77.6,91.8,99.0,71.3,0.6,1.0,11.7,2.0,3.3,9.1,1.0,567.0
2019,Rest of North East,53.8,89.0,95.9,98.2,81.2,0.4,0.4,4.6,1.3,0.7,10.4,1.0,615.0
2019,North West,39.6,77.0,90.9,97.6,76.6,0.5,2.3,6.4,3.0,2.0,8.4,0.7,3524.0
2019,Greater Manchester,32.6,69.0,86.3,96.6,72.2,0.6,2.8,4.2,4.3,4.5,7.9,3.5,1409.0
2019,Merseyside,38.8,80.8,93.9,99.0,72.3,0.6,2.0,8.5,4.4,4.0,7.5,0.2,610.0
2019,Rest of North West,46.6,83.1,94.1,97.9,82.2,0.4,2.1,3.8,1.2,0.7,9.4,0.2,1505.0
2019,Yorkshire and The Humber,42.5,80.0,91.4,97.8,74.1,0.4,2.9,7.0,3.0,0.7,10.4,1.1,2578.0
2019,South Yorkshire,38.5,79.8,90.8,98.1,70.4,0.6,2.2,9.8,3.1,0.7,11.5,1.7,651.0
2019,West Yorkshire,39.0,77.1,90.6,97.4,75.7,0.6,1.4,8.8,4.5,0.3,8.4,0.3,1092.0
2019,Rest of Yorkshire and The Humber,50.5,84.3,92.9,97.9,74.9,0.4,5.4,5.3,2.0,0.7,10.3,1.0,836.0
2019,East Midlands,45.1,81.2,92.8,97.8,80.0,0.3,3.1,4.0,1.2,0.9,9.9,0.6,2298.0
2019,West Midlands,36.9,75.5,89.6,97.6,78.6,0.7,1.5,6.8,4.1,0.9,6.5,0.8,2785.0
2019,West Midlands (metropolitan county),30.0,69.7,86.5,97.3,74.4,0.6,1.2,10.9,5.6,1.3,5.8,0.2,1427.0
2019,Rest of West Midlands,44.8,82.1,93.2,97.9,83.2,0.3,1.9,2.3,1.3,0.9,9.3,0.8,1358.0
2019,East of England,42.7,77.8,90.6,97.3,78.9,0.3,3.7,3.1,3.5,0.9,9.2,0.4,2819.0
2019,London,14.9,42.1,65.2,88.3,27.0,1.2,4.2,11.6,23.6,24.0,7.6,0.8,5402.0
2019,Central London,5.7,26.5,55.2,85.2,9.3,1.7,4.4,6.4,36.8,36.2,4.7,0.5,2070.0
2019,Rest of Inner London,13.5,43.9,66.7,88.1,19.0,1.4,5.8,15.3,22.6,25.2,9.7,1.0,1480.0
2019,Outer London,29.3,62.9,78.0,92.8,54.5,3.0,2.6,14.8,6.4,8.5,9.3,0.9,1852.0
2019,South East,41.9,76.5,88.7,95.8,75.2,0.7,3.6,3.7,4.5,0.5,10.6,0.8,4405.0
2019,South West,44.1,79.5,91.4,97.6,77.1,0.9,3.9,4.5,1.7,0.7,9.2,2.0,2806.0
2019,England,36.5,71.2,85.8,95.5,67.2,0.7,3.2,6.5,7.1,5.3,9.2,0.7,27801.0
2019,Wales,43.2,81.3,93.0,98.2,80.3,0.4,1.7,5.2,2.1,0.9,8.4,1.0,1423.0
2019,Scotland,42.4,77.6,91.0,97.3,70.4,0.6,2.3,9.5,5.0,0.1,10.9,1.2,2645.0
2019,Great Britain,37.3,72.2,86.5,95.8,68.1,0.7,3.0,6.7,6.7,4.6,9.4,0.8,31870.0
2020,North East,45.6,84.0,94.1,98.3,74.5,0.5,2.1,7.4,1.0,1.4,12.3,1.0,1163.0
