Year,Region of workplace,Time travelled to work,Amount of people
2018,North East,Less than 20 mins,45.4
2018,North East,Less than 40 mins,85.5
2018,North East,Less than 60 mins,94.4
2018,North East,Less than 90 mins,98.8
2018,North West,Less than 20 mins,39.5
2018,North West,Less than 40 mins,76.1
2018,North West,Less than 60 mins,89.1
2018,North West,Less than 90 mins,97.6
2018,Yorkshire and The Humber,Less than 20 mins,40.8
2018,Yorkshire and The Humber,Less than 40 mins,78.6
2018,Yorkshire and The Humber,Less than 60 mins,91.4
2018,Yorkshire and The Humber,Less than 90 mins,97.8
2018,East Midlands,Less than 20 mins,43.9
2018,East Midlands,Less than 40 mins,81.0
2018,East Midlands,Less than 60 mins,92.1
2018,East Midlands,Less than 90 mins,98.0
2018,West Midlands,Less than 20 mins,39.4
2018,West Midlands,Less than 40 mins,77.3
2018,West Midlands,Less than 60 mins,90.6
2018,West Midlands,Less than 90 mins,97.4
2018,Eastern,Less than 20 mins,42.8
2018,Eastern,Less than 40 mins,79.7
2018,Eastern,Less than 60 mins,90.6
2018,Eastern,Less than 90 mins,97.0
2018,London,Less than 20 mins,14.1
2018,London,Less than 40 mins,42.4
2018,London,Less than 60 mins,64.0
2018,London,Less than 90 mins,89.2
2018,South East,Less than 20 mins,39.9
2018,South East,Less than 40 mins,75.7
2018,South East,Less than 60 mins,87.9
2018,South East,Less than 90 mins,95.7
2018,South West,Less than 20 mins,46.6
2018,South West,Less than 40 mins,80.8
2018,South West,Less than 60 mins,92.0
2018,South West,Less than 90 mins,97.2
2018,Wales,Less than 20 mins,48.1
2018,Wales,Less than 40 mins,83.0
2018,Wales,Less than 60 mins,93.8
2018,Wales,Less than 90 mins,98.3
2018,Scotland,Less than 20 mins,42.3
2018,Scotland,Less than 40 mins,80.2
2018,Scotland,Less than 60 mins,90.7
2018,Scotland,Less than 90 mins,96.8
2018,Northern Ireland,Less than 20 mins,4.1
2018,Northern Ireland,Less than 40 mins,26.5
2018,Northern Ireland,Less than 60 mins,51.8
2018,Northern Ireland,Less than 90 mins,85.8
2019,North East,Less than 20 mins,44.6
2019,North East,Less than 40 mins,83.3
2019,North East,Less than 60 mins,93.9
2019,North East,Less than 90 mins,98.6
2019,North West,Less than 20 mins,39.6
2019,North West,Less than 40 mins,77.0
2019,North West,Less than 60 mins,90.9
2019,North West,Less than 90 mins,97.6
2019,Yorkshire and The Humber,Less than 20 mins,42.5
2019,Yorkshire and The Humber,Less than 40 mins,80.0
2019,Yorkshire and The Humber,Less than 60 mins,91.4
2019,Yorkshire and The Humber,Less than 90 mins,97.8
2019,East Midlands,Less than 20 mins,45.1
2019,East Midlands,Less than 40 mins,81.2
2019,East Midlands,Less than 60 mins,92.8
2019,East Midlands,Less than 90 mins,97.8
2019,West Midlands,Less than 20 mins,36.9
