Year,Region,Homeworking,Non-homeworking,Regional workers,Homeworking %,Homeworking standardised,Regional workers ,Homeworking standardised %
2018,North East,121000,1061000,1182000,10.3,125000,1228000,10.2
2018,North West,425000,3096000,3520000,12.1,435000,3689000,11.8
2018,Yorkshire and The Humber,368000,2199000,2567000,14.3,374000,2643000,14.2
2018,East Midlands,328000,1968000,2296000,14.3,333000,2416000,13.8
2018,West Midlands,356000,2421000,2777000,12.8,362000,2820000,12.8
2018,Eastern,458000,2357000,2815000,16.3,463000,2899000,16.0
2018,London,764000,4631000,5395000,14.2,775000,5530000,14.0
2018,South East,857000,3544000,4401000,19.5,861000,4516000,19.1
2018,South West,522000,2282000,2804000,18.6,536000,2896000,18.5
2018,Wales,177000,1239000,1415000,12.5,180000,1466000,12.3
2018,Scotland,267000,2375000,2642000,10.1,272000,2712000,10.0
2018,Northern Ireland,88000,764000,852000,10.3,88000,872000,10.0
2020,North East,262000,905000,1167000,22.5,270000,1225000,22.0
2020,North West,900000,2465000,3365000,26.8,913000,3427000,26.6
2020,Yorkshire and The Humber,667000,1880000,2547000,26.2,669000,2583000,25.9
2020,East Midlands,648000,1588000,2236000,29.0,658000,2286000,28.8
2020,West Midlands,754000,2072000,2825000,26.7,771000,2947000,26.2
2020,Eastern,903000,1995000,2898000,31.2,921000,2966000,31.1
2020,London,1894000,3231000,5125000,37.0,1929000,5253000,36.7
2020,South East,1618000,2767000,4385000,36.9,1627000,4503000,36.1
2020,South West,842000,1945000,2786000,30.2,856000,2903000,29.5
2020,Wales,433000,996000,1428000,30.3,442000,1477000,30.0
2020,Scotland,808000,1869000,2677000,30.2,834000,2774000,30.1
2020,Northern Ireland,137000,695000,832000,16.4,138000,856000,16.1
